Gmt time,Open,High,Low,Close,Volume
29.06.2019 21:00:00.000,1.13681,1.13681,1.13681,1.13681,0
30.06.2019 21:00:00.000,1.13595,1.13710,1.12810,1.12851,306082.3211
01.07.2019 21:00:00.000,1.12850,1.13215,1.12751,1.12847,265242.0293
02.07.2019 21:00:00.000,1.12842,1.13123,1.12686,1.12774,265517.24880000006
03.07.2019 21:00:00.000,1.12777,1.12951,1.12731,1.12847,139750.8095
04.07.2019 21:00:00.000,1.12837,1.12877,1.12073,1.12235,264181.82769999997
05.07.2019 21:00:00.000,1.12235,1.12235,1.12235,1.12235,0
06.07.2019 21:00:00.000,1.12235,1.12235,1.12235,1.12235,0
07.07.2019 21:00:00.000,1.12215,1.12344,1.12069,1.12142,214337.45109999995
08.07.2019 21:00:00.000,1.12141,1.12187,1.11933,1.12078,217992.44180000003
09.07.2019 21:00:00.000,1.12076,1.12643,1.12018,1.12503,274645.43869999994
10.07.2019 21:00:00.000,1.12503,1.12857,1.12451,1.12529,281815.8216
11.07.2019 21:00:00.000,1.12529,1.12748,1.12381,1.12698,263650.37010000006
12.07.2019 21:00:00.000,1.12698,1.12698,1.12698,1.12698,0
13.07.2019 21:00:00.000,1.12698,1.12698,1.12698,1.12698,0
14.07.2019 21:00:00.000,1.12666,1.12838,1.12532,1.12577,210951.8792
15.07.2019 21:00:00.000,1.12574,1.12634,1.12018,1.12103,261704.96149999998
16.07.2019 21:00:00.000,1.12102,1.12335,1.11997,1.12242,224551.34879999998
17.07.2019 21:00:00.000,1.12237,1.12804,1.12051,1.12765,304572.3611
18.07.2019 21:00:00.000,1.12766,1.12820,1.12033,1.12192,302348.59109999996
19.07.2019 21:00:00.000,1.12192,1.12192,1.12192,1.12192,0
20.07.2019 21:00:00.000,1.12192,1.12192,1.12192,1.12192,0
21.07.2019 21:00:00.000,1.12150,1.12253,1.12062,1.12094,228680.34199999995
22.07.2019 21:00:00.000,1.12093,1.12096,1.11457,1.11517,269201.8498
23.07.2019 21:00:00.000,1.11516,1.11558,1.11269,1.11399,268376.5412
24.07.2019 21:00:00.000,1.11400,1.11877,1.11013,1.11462,362814.33939999994
